raw_value,mapped_value,confidence,rule,notes
avaliacao corporal,"Avaliação facial, corporal, online, profissional",high,manual_final,Planilha final ajustada ao enum vivo do Kommo
avaliacao facial,"Avaliação facial, corporal, online, profissional",high,manual_final,Planilha final ajustada ao enum vivo do Kommo
avaliacao online,"Avaliação facial, corporal, online, profissional",high,manual_final,Planilha final ajustada ao enum vivo do Kommo
avaliacao profissional,"Avaliação facial, corporal, online, profissional",high,manual_final,Planilha final ajustada ao enum vivo do Kommo
bioestimulador evo,Bioestimulador de Colágeno,high,manual_final,Planilha final
bioestimulador evo diamond victa,Bioestimulador de Colágeno,high,manual_final,Planilha final
bioestimulador hialurox bio,Bioestimulador de Colágeno,high,manual_final,Planilha final
botox day feminino,Botox|Synergy Prime,high,manual_final,Planilha final indicou Botox ou Synergy Prime
botox day masculino,Botox|Synergy Prime,high,manual_final,Planilha final indicou Botox ou Synergy Prime
botox platisma,Botox|Synergy Prime,high,manual_final,Planilha final indicou Botox ou Synergy Prime
co2 exossomos,CO2 Resurfacing,high,manual_final,Planilha final
co2 colo,CO2 Resurfacing,high,manual_final,Planilha final
co2 full face,CO2 Resurfacing,high,manual_final,Planilha final
co2 glow up,CO2 Resurfacing,high,manual_final,Planilha final
co2 pescoco,CO2 Resurfacing,high,manual_final,Planilha final
co2 regiao unica cicatriz ou estrias,CO2 Resurfacing,high,manual_final,Planilha final
criofrequencia,Criofrequência,high,manual_final,Planilha final
criolipolise,Criolipólise,high,manual_final,Planilha final
dermo mr protetor solar em bastao,Dermocosméticos,high,manual_final,Planilha final
diamond,Bioestimulador de Colágeno,high,manual_final,Planilha final
drenagem local,Drenagem Linfática,high,manual_final,Planilha final
enzima corporal,Enzimas,high,manual_final,Planilha final
enzimas protocolo venus,Método MR Gordura Localizada,high,manual_final,Planilha final
exossomos,Bioregeneradores,high,manual_final,Planilha final
fio filler 10 fios dentro de uma canula,Fios de PDO,high,manual_final,Planilha final
fios pdo liso,Fios de PDO,high,manual_final,Planilha final
furo em orelha,,none,no_equivalent,Planilha final marcou N/A
gloss labial,Dermocosméticos,high,manual_final,Planilha final
glowing complexion,Glowing Complexion Essencial,high,manual_final,Planilha final
glowing pearl,Glowing Complexion Plus,high,manual_final,Planilha final
glowing skinbooster,Glowing Complexion Bioregenere,high,manual_final,Planilha final
hialuronidase,Hialuronidase,high,manual_final,Planilha final
laserterapia,Laser terapia,high,manual_final,Planilha final ajustada ao enum vivo do Kommo
lavieen full face,Lavieen,high,manual_final,Planilha final
limpeza de pele express,Glowing Complexion Essencial,high,manual_final,Planilha final
luz pulsada feminina buco,Luz Pulsada,high,manual_final,Planilha final
luz pulsada feminina virilha simples,Luz Pulsada,high,manual_final,Planilha final
manthus,Aparelhos manthus / vibrocell,high,manual_final,Planilha final
massagem facial relaxante,Massagem SOS,high,manual_final,Planilha final
mesotox microtox,Synergy Prime MX,high,manual_final,Planilha final
microagulhamento com serum,Microagulhamento,high,manual_final,Planilha final
ozonioterapia,Ozonioterapia,high,manual_final,Planilha final
pdrn,Bioregeneradores,high,manual_final,Planilha final
pdrn topico,Bioregeneradores,high,manual_final,Planilha final
peeling quimico acido retinoico,Peeling,high,manual_final,Planilha final
peeling quimico pos botox,Peeling,high,manual_final,Planilha final
pontilhismo facial somente acido hialuronico minimo 5ml,Pontilhismo Facial AH,high,manual_final,Planilha final
preenchimento facial,Ácido Hialurônico,high,manual_final,Planilha final
preenchimento labial,Lip Reveal,high,manual_final,Planilha final
preenchimento olheira,Ácido Hialurônico,high,manual_final,Planilha final
radiofrequencia corporal,Radiofrequência,high,manual_final,Planilha final
retorno botox,Botox,high,manual_final,Planilha final
retorno do preenchimento labial,Ácido Hialurônico,high,manual_final,Planilha final
rinomodelacao,Rinomodelação,high,manual_final,Planilha final
rinotox,Rinomodelação,high,manual_final,Planilha final
sense on sculpture,Massagem SOS,high,manual_final,Planilha final
skinbooster face,Skinbooster,high,manual_final,Planilha final
skinbooster na area dos olhos,Skinbooster,high,manual_final,Planilha final
synergy prime botox rosto completo feminino,Botox|Synergy Prime,high,manual_final,Planilha final indicou Botox ou Synergy Prime
synergy prime botox rosto completo masculino,Botox|Synergy Prime,high,manual_final,Planilha final indicou Botox ou Synergy Prime
ultrassom microfocado contorno papada,Ultrassom Microfocado Papada,high,manual_final,Planilha final
ultrassom microfocado full face lift face,Ultrassom Microfocado Full Face,high,manual_final,Planilha final
vibrocell,Aparelhos manthus / vibrocell,high,manual_final,Planilha final
victa,Bioestimulador de Colágeno,high,manual_final,Planilha final
vitamina d 600 000 ui intramuscular,Soroterapia,high,manual_final,Planilha final
botox,Botox,high,substring,Match por substring
microagulhamento,Microagulhamento,high,substring,Match por substring
skinbooster,Skinbooster,high,substring,Match por substring
lavieen,Lavieen,high,substring,Match por substring
criolipolise,Criolipólise,high,substring,Match por substring
criofrequencia,Criofrequência,high,substring,Match por substring
enzima,Enzimas,medium,family,Familia de enzimas
luz pulsada,Luz Pulsada,high,substring,Match por substring
microfocado full face,Ultrassom Microfocado Full Face,high,substring,Match por substring
microfocado papada,Ultrassom Microfocado Papada,high,substring,Match por substring
microfocado pescoco,Ultrassom Microfocado Pescoço,high,substring,Match por substring
microfocado pescoço,Ultrassom Microfocado Pescoço,high,substring,Match por substring
microfocado olhos,Ultrassom Microfocado Olhos,high,substring,Match por substring
area dos olhos,Ultrassom Microfocado Olhos,medium,semantic,Equivalencia semantica
microfocado abdomen,Ultrassom Microfocado Abdômen,high,substring,Match por substring
microfocado abdômen,Ultrassom Microfocado Abdômen,high,substring,Match por substring
microfocado contorno,Ultrassom Contorno,medium,semantic,Equivalencia semantica
ultrassom contorno,Ultrassom Contorno,high,substring,Match por substring
peeling,Peeling,high,substring,Match por substring
ozonioterapia,Ozonioterapia,high,substring,Match por substring
jato de plasma,Jato de Plasma,high,substring,Match por substring
soroterapia,Soroterapia,high,substring,Match por substring
radiofrequencia,Radiofrequência,high,substring,Match por substring
radiofrequência,Radiofrequência,high,substring,Match por substring
fios pdo,Fios de PDO,high,substring,Match por substring
bioestimulador,Bioestimulador de Colágeno,high,family,Familia de bioestimulador
acido hialuronico,Ácido Hialurônico,high,substring,Match por substring
acido hialurônico,Ácido Hialurônico,high,substring,Match por substring
pontilhismo facial,Pontilhismo Facial AH,high,substring,Match por substring
co2 resurfacing,CO2 Resurfacing,high,substring,Match por substring
glowing complexion plus,Glowing Complexion Plus,high,substring,Match por substring
drenagem linfatica,Drenagem Linfática,high,substring,Match por substring
drenagem linfática,Drenagem Linfática,high,substring,Match por substring
tratamento capilar,Protocolo Capilar,high,semantic,Equivalencia semantica
sense on sculpture,Massagem SOS,high,product_family,Umbrella da linha Sense On Sculpture
